                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.67465,                0.43366,                0.80579,                0.92676,                0.74947,                0.84906,                0.71219,                0.52157,                 0.3478,                0.80668,               0.006106,               0.006106,               0.006106
                    120,                0.67467,                0.43354,                0.80431,                0.93216,                0.74623,                0.84744,                0.71003,                0.51776,                0.34772,                0.80659,               0.006073,               0.006073,               0.006073
                    121,                0.67133,                0.43031,                0.80591,                 0.9303,                0.75202,                0.84988,                0.71565,                0.50916,                0.34309,                0.80457,                0.00604,                0.00604,                0.00604
                    122,                 0.6729,                0.43383,                0.80651,                0.93403,                0.75014,                0.84935,                0.71487,                0.50961,                0.34347,                0.80499,               0.006007,               0.006007,               0.006007
                    123,                 0.6693,                0.42979,                0.80728,                0.93608,                0.74716,                0.84856,                 0.7122,                 0.5086,                0.34164,                0.80453,               0.005974,               0.005974,               0.005974
                    124,                0.67524,                0.43318,                0.80524,                0.93289,                0.74935,                 0.8482,                0.71257,                0.50474,                0.33939,                0.80435,               0.005941,               0.005941,               0.005941
                    125,                0.67394,                0.43208,                0.80616,                0.93297,                0.74926,                0.84862,                0.71274,                0.50545,                0.33972,                0.80443,               0.005908,               0.005908,               0.005908
                    126,                0.67145,                0.43196,                0.80631,                0.93149,                0.75049,                0.84918,                0.71652,                0.50251,                 0.3378,                0.80463,               0.005875,               0.005875,               0.005875
                    127,                0.66684,                0.42782,                0.80641,                0.93221,                0.75047,                0.84976,                0.71774,                0.50612,                0.33909,                0.80418,               0.005842,               0.005842,               0.005842
                    128,                0.66787,                0.42807,                0.80447,                0.93179,                 0.7509,                0.84964,                0.71836,                 0.5081,                0.33765,                0.80406,               0.005809,               0.005809,               0.005809
                    129,                0.65743,                0.42252,                0.80545,                0.93649,                0.74813,                0.84973,                0.71791,                0.50596,                0.33726,                0.80382,               0.005776,               0.005776,               0.005776
                    130,                0.66824,                 0.4291,                0.80458,                0.93078,                0.75033,                0.84919,                0.71961,                0.50238,                0.33694,                0.80368,               0.005743,               0.005743,               0.005743
                    131,                0.65929,                0.42247,                0.80451,                0.93375,                0.74975,                0.84928,                0.71838,                0.50266,                0.33645,                 0.8033,                0.00571,                0.00571,                0.00571
                    132,                0.65863,                0.42554,                0.80439,                0.93281,                0.75109,                0.84952,                0.71763,                0.50357,                0.33719,                0.80373,               0.005677,               0.005677,               0.005677
                    133,                0.66462,                0.42622,                0.80405,                0.92812,                0.75329,                0.84909,                0.71534,                0.50335,                0.33571,                0.80385,               0.005644,               0.005644,               0.005644
                    134,                0.65663,                0.42073,                0.80263,                0.93443,                0.74957,                0.84932,                0.71543,                0.50163,                0.33577,                 0.8039,               0.005611,               0.005611,               0.005611
                    135,                0.65404,                0.42255,                0.80363,                0.93412,                0.75122,                0.85115,                 0.7164,                0.50048,                0.33468,                0.80364,               0.005578,               0.005578,               0.005578
                    136,                0.65639,                0.42406,                0.80415,                 0.9346,                0.75051,                0.85118,                0.71968,                0.50005,                0.33284,                0.80306,               0.005545,               0.005545,               0.005545
                    137,                0.65395,                0.41998,                0.80278,                0.93454,                0.75139,                0.85097,                0.72071,                0.49864,                0.33243,                0.80289,               0.005512,               0.005512,               0.005512
                    138,                0.65788,                0.42186,                0.80333,                0.93431,                0.75119,                0.84996,                0.72076,                0.50095,                0.33314,                0.80259,               0.005479,               0.005479,               0.005479
                    139,                0.65191,                0.41835,                0.80431,                 0.9301,                0.75151,                0.84912,                0.72086,                0.49995,                0.33328,                0.80246,               0.005446,               0.005446,               0.005446
                    140,                0.64995,                0.41713,                0.80439,                0.93006,                0.75106,                0.84875,                0.71945,                0.49878,                0.33366,                0.80291,               0.005413,               0.005413,               0.005413
                    141,                0.64842,                0.41646,                0.80332,                0.93036,                0.75069,                0.84922,                0.72109,                 0.4978,                0.33269,                0.80244,                0.00538,                0.00538,                0.00538
                    142,                0.65027,                0.41515,                0.80232,                0.92788,                0.75119,                0.84901,                0.72099,                0.49907,                0.33276,                0.80287,               0.005347,               0.005347,               0.005347
                    143,                0.64539,                0.41446,                0.80187,                0.92759,                0.75238,                0.84984,                0.72232,                0.49731,                0.33223,                0.80279,               0.005314,               0.005314,               0.005314
                    144,                0.64416,                0.41259,                0.80171,                0.92695,                0.75277,                0.84921,                0.71984,                 0.4967,                0.33112,                0.80291,               0.005281,               0.005281,               0.005281
                    145,                0.64525,                0.41505,                0.80287,                0.93405,                 0.7489,                0.85039,                0.71961,                0.49472,                0.33032,                0.80217,               0.005248,               0.005248,               0.005248
                    146,                0.64366,                0.41327,                0.80128,                0.93274,                0.75032,                0.85022,                0.72016,                0.49737,                0.33117,                0.80202,               0.005215,               0.005215,               0.005215
                    147,                0.64388,                0.41382,                0.80172,                0.93018,                0.74994,                0.84975,                0.71985,                0.49619,                0.33047,                0.80233,               0.005182,               0.005182,               0.005182
                    148,                0.64114,                0.41121,                0.80121,                0.93336,                0.74868,                0.84952,                0.71853,                0.49675,                0.33035,                0.80218,               0.005149,               0.005149,               0.005149
                    149,                0.64528,                0.41176,                0.80013,                0.92844,                0.75085,                0.85001,                0.71821,                0.49459,                0.32918,                0.80182,               0.005116,               0.005116,               0.005116
                    150,                0.63796,                0.41184,                0.80147,                0.93082,                 0.7501,                0.85046,                0.71899,                0.49418,                0.32825,                 0.8012,               0.005083,               0.005083,               0.005083
                    151,                0.63546,                0.40775,                 0.8002,                0.93583,                0.74997,                0.85155,                0.72164,                 0.4918,                0.32876,                0.80091,                0.00505,                0.00505,                0.00505
                    152,                0.63516,                0.41031,                 0.8024,                0.93478,                0.75165,                0.85178,                0.72061,                0.48967,                0.32787,                0.80078,               0.005017,               0.005017,               0.005017
