                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.72185,                0.49158,                0.81694,                0.91126,                0.78053,                0.85112,                0.68799,                0.56606,                0.38257,                0.81862,               0.003961,               0.003961,               0.003961
                    124,                0.72628,                 0.4939,                0.81694,                0.91052,                0.78267,                 0.8505,                0.68572,                0.56622,                0.38233,                0.81865,              0.0039115,              0.0039115,              0.0039115
                    125,                0.72076,                0.49014,                0.81622,                  0.909,                0.78251,                 0.8499,                0.68458,                0.56853,                0.38133,                0.81868,               0.003862,               0.003862,               0.003862
                    126,                0.72438,                0.49172,                0.81566,                0.90277,                0.78675,                0.85087,                0.68627,                0.56579,                0.38015,                 0.8181,              0.0038125,              0.0038125,              0.0038125
                    127,                0.71838,                0.49011,                0.81771,                0.90515,                0.78609,                 0.8516,                0.68904,                0.56406,                0.37951,                0.81751,               0.003763,               0.003763,               0.003763
                    128,                0.71067,                0.48535,                0.81519,                0.90131,                0.78762,                0.85122,                0.69033,                0.56217,                0.37906,                0.81768,              0.0037135,              0.0037135,              0.0037135
                    129,                0.71601,                0.48753,                0.81544,                0.90735,                0.78303,                0.85102,                0.68832,                0.56188,                0.37939,                0.81768,               0.003664,               0.003664,               0.003664
                    130,                0.70998,                  0.483,                0.81312,                0.90391,                0.78574,                0.85118,                0.68968,                0.56024,                0.37867,                0.81741,              0.0036145,              0.0036145,              0.0036145
                    131,                0.70697,                0.48111,                0.81482,                0.90588,                0.78283,                 0.8506,                0.68877,                0.55999,                0.37842,                0.81719,               0.003565,               0.003565,               0.003565
                    132,                0.71165,                0.48691,                0.81554,                0.89791,                0.78768,                0.85113,                0.68881,                0.56031,                0.37809,                0.81774,              0.0035155,              0.0035155,              0.0035155
                    133,                0.70789,                0.48305,                 0.8153,                 0.9059,                0.78271,                0.85098,                0.68878,                0.55921,                0.37803,                0.81738,               0.003466,               0.003466,               0.003466
                    134,                 0.7027,                0.47883,                0.81465,                0.90979,                0.78023,                0.85124,                0.68844,                0.55776,                0.37755,                0.81741,              0.0034165,              0.0034165,              0.0034165
